Instrument,Symbol,BcPriceMultiplier
AEX,AE,1
ASX,AP,1
AUD,A6,1
BITCOIN,BA,1
BOBL,HR,1
BRENT_W,CB,1
BTP,II,1
BUND,GG,1
BUXL,GX,1
CAC,MX,1
CAD,D6,1
CARBON,CK,1
CHEESE,BJ,1
CHF,S6,1
COCOA_LDN,CA,1
COCOA_NY,CC,1
COFFEE,KC,1
COFFEE_LDN,RM,1
COPPER,HG,1
CORN,ZC,1
COTTON,CT,1
CRUDE_W,CL,1
CRUDE_W_mini,QM,1
DAX,DY,1
DOW,YM,1
DX,DX,1
EDOLLAR,GE,1
EUR,E6,1
EURGBP,RP,1
EURIBOR,IM,1
EUROSTX,FX,1
FTSE,X,1
GASOIL_LDN,LF,1
GASOILINE,RB,1
GAS_US,NG,1
GAS_US_mini,QG,1
GBP,B6,1
GILT,G,1
GOLD,GC,1
GOLD_micro,GR,1
HANG,HS,1
HEATOIL,HO,1
JGB,JX,1
JPY,J6,0.01
LEANHOG,HE,1
LIVECOW,LE,1
LUMBER,LB,1
MILK,DL,1
MILKDRY,DF,1
MILKWET,DK,1
MXP,M6,1
NASDAQ,NQ,1
NASDAQ_micro,NM,1
NIKKEI,NY,1
NZD,N6,1
OAT,FN,1
OATIES,ZO,1
OJ,OJ,1
PALLAD,PA,1
PLAT,PL,1
REDWHEAT,KE,1
RICE,ZR,1
RUSSELL,QR,1
SHATZ,HF,1
SILVER,SO,1
SMI,SZ,1
SOYBEAN,ZS,1
SOYMEAL,ZM,1
SOYOIL,ZL,1
SP400,EW,1
SP500,ES,1
SP500_micro,ET,1
STERLING3,L,1
SUGAR,SB,1
SUGAR_LDN,SW,1
US10,ZN,1
US2,ZT,1
US20,ZB,1
US30,UD,1
US5,ZF,1
USTB,ZB,1
V2X,DV,1
VIX,VI,1
WHEAT,ZW,1
WHEAT_LDN,LW,1
